TIME,DEPTH
62.7255,249.526
62.7355,249.526
62.7455,249.526
62.7555,249.526
62.7655,249.526
62.7755,249.526
62.7855,249.526
62.7955,249.526
62.8055,249.526
62.8155,249.526
62.8255,249.526
62.8355,249.526
62.8455,249.526
62.8555,249.526
62.8655,249.526
62.8755,249.526
62.8855,249.526
62.8955,249.526
62.9054,249.526
62.9154,249.526
62.9254,249.526
62.9354,249.526
62.9454,249.526
62.9554,249.526
62.9654,249.526
62.9754,249.526
62.9854,249.526
62.9954,249.526
63.0054,249.526
63.0154,249.526
63.0254,249.526
63.0354,249.526
63.0454,249.526
63.0554,249.526
63.0654,249.526
63.0754,249.526
63.0854,249.526
63.0954,249.526
63.1054,249.526
63.1154,249.526
63.1254,249.526
63.1354,249.526
63.1454,249.526
63.1554,249.526
63.1654,249.526
63.1754,249.526
63.1854,249.526
63.1954,249.526
63.2054,249.526
63.2154,249.526
63.2254,249.526
63.2354,249.526
63.2454,249.526
63.2554,249.526
63.2654,249.526
63.2754,249.526
63.2854,249.526
63.2954,249.526
63.3054,249.526
63.3154,249.526
63.3254,249.526
63.3354,249.526
63.3454,249.526
63.3554,249.526
63.3654,249.526
63.3754,249.526
63.3854,249.526
63.3954,249.526
63.4054,249.526
63.4154,249.526
63.4254,249.526
63.4354,249.526
63.4454,249.526
63.4554,249.526
63.4654,249.526
63.4754,249.526
63.4854,249.526
63.4953,249.526
63.5053,249.526
63.5153,249.526
63.5253,249.526
63.5353,249.526
63.5453,249.526
63.5553,249.526
63.5653,249.526
63.5753,249.526
63.5853,249.526
63.5953,249.526
63.6053,249.526
63.6153,249.526
63.6253,249.526
63.6353,249.526
63.6453,249.526
63.6553,249.526
63.6653,249.526
63.6753,249.526
63.6853,249.526
63.6953,249.526
63.7053,249.526
63.7153,249.526
63.7253,249.526
63.7353,249.526
63.7453,249.526
63.7553,249.526
63.7653,249.526
63.7753,249.526
63.7853,249.526
63.7953,249.526
63.8053,249.526
63.8153,249.526
63.8253,249.526
63.8353,249.526
63.8453,249.526
63.8553,249.526
63.8653,249.526
63.8753,249.526
63.8853,249.526
63.8953,249.526
63.9053,249.526
63.9153,249.526
63.9253,249.526
63.9353,249.526
63.9453,249.526
63.9553,249.526
63.9653,249.526
63.9753,249.526
63.9853,249.526
63.9953,249.526
64.0053,249.526
64.0153,249.526
64.0253,249.526
64.0353,249.526
64.0453,249.526
64.0553,249.526
64.0653,249.526
64.0753,249.526
64.0853,249.526
64.0953,249.526
64.1053,249.526
64.1153,249.526
64.1253,249.526
64.1353,249.526
64.1453,249.526
64.1553,249.526
64.1653,249.526
64.1753,249.526
64.1853,249.526
64.1953,249.526
64.2053,249.526
64.2153,249.526
64.2253,249.526
64.2353,249.526
64.2453,249.526
64.2553,249.526
64.2653,249.526
64.2753,249.526
64.2853,249.526
64.2953,249.526
64.3053,249.526
64.3153,249.526
64.3253,249.526
64.3353,249.526
64.3453,249.526
64.3553,249.526
64.3653,249.526
64.3753,249.526
64.3853,249.526
64.3953,249.526
64.4053,249.526
64.4154,249.526
64.4254,249.526
64.4354,249.526
64.4454,249.526
64.4554,249.526
64.4654,249.526
64.4754,249.526
64.4854,249.526
64.4954,249.526
64.5054,249.526
64.5154,249.526
64.5254,249.526
64.5354,249.526
64.5454,249.526
64.5554,249.526
64.5654,249.526
64.5754,249.526
64.5854,249.526
64.5954,249.526
64.6054,249.526
64.6154,249.526
64.6254,249.526
64.6354,249.526
64.6454,249.526
64.6554,249.526
64.6654,249.526
64.6754,249.526
64.6854,249.526
64.6954,249.526
64.7054,249.526
64.7154,249.526
64.7254,249.526
64.7354,249.526
64.7454,249.526
64.7554,249.526
64.7654,249.526
64.7754,249.526
64.7854,249.526
64.7954,249.526
64.8054,249.526
64.8154,249.526
64.8254,249.526
64.8354,249.526
64.8454,249.526
64.8554,249.526
64.8654,249.526
64.8755,249.526
64.8855,249.526
64.8955,249.526
64.9055,249.526
64.9155,249.526
64.9255,249.526
64.9355,249.526
64.9455,249.526
64.9555,249.526
64.9655,249.526
64.9755,249.526
64.9855,249.526
64.9955,249.526
65.0055,249.526
65.0155,249.526
65.0255,249.526
65.0355,249.526
65.0455,249.526
65.0555,249.526
65.0655,249.526
65.0755,249.526
65.0855,249.526
65.0955,249.526
65.1055,249.526
65.1155,249.526
65.1255,249.526
65.1355,249.526
65.1455,249.526
65.1555,249.526
65.1655,249.526
65.1755,249.526
65.1855,249.526
65.1955,249.526
65.2055,249.526
65.2155,249.526
65.2255,249.526
65.2355,249.526
65.2455,249.526
65.2555,249.526
65.2655,249.526
65.2755,249.526
65.2855,249.526
65.2955,249.526
65.3055,249.526
65.3155,249.526
65.3255,249.526
65.3355,249.526
65.3456,249.526
65.3556,249.526
65.3656,249.526
65.3756,249.526
65.3856,249.526
65.3956,249.526
65.4056,249.526
65.4156,249.526
65.4256,249.526
65.4356,249.526
65.4456,249.526
65.4556,249.526
65.4656,249.526
65.4756,249.526
65.4856,249.526
65.4956,249.526
65.5056,249.526
65.5156,249.526
65.5256,249.526
65.5356,249.526
65.5456,249.527
65.5556,249.527
65.5656,249.527
65.5756,249.527
65.5856,249.527
65.5956,249.527
65.6056,249.527
65.6156,249.527
65.6256,249.527
65.6356,249.527
65.6456,249.527
65.6556,249.527
65.6656,249.527
65.6756,249.527
65.6856,249.527
65.6956,249.527
65.7056,249.527
65.7156,249.527
65.7256,249.527
65.7356,249.527
65.7456,249.527
65.7556,249.527
65.7656,249.527
65.7756,249.527
65.7856,249.527
65.7956,249.527
65.8056,249.527
65.8157,249.527
65.8257,249.527
65.8357,249.527
65.8457,249.527
65.8557,249.527
65.8657,249.527
65.8757,249.527
65.8857,249.527
65.8957,249.527
65.9057,249.527
65.9157,249.527
65.9257,249.527
65.9357,249.527
65.9457,249.527
65.9557,249.527
65.9657,249.527
65.9757,249.527
65.9857,249.527
65.9957,249.527
66.0057,249.527
66.0157,249.527
66.0257,249.527
66.0357,249.527
66.0457,249.527
66.0557,249.527
66.0657,249.527
66.0757,249.527
66.0857,249.527
66.0957,249.527
66.1057,249.527
66.1157,249.527
66.1257,249.527
66.1357,249.527
66.1457,249.527
66.1557,249.527
66.1657,249.527
66.1757,249.527
66.1857,249.527
66.1957,249.527
66.2057,249.527
66.2157,249.527
66.2257,249.527
66.2357,249.527
66.2457,249.527
66.2557,249.527
66.2657,249.527
66.2757,249.527
66.2858,249.527
66.2958,249.527
66.3058,249.527
66.3158,249.527
66.3258,249.527
66.3358,249.527
66.3458,249.527
66.3558,249.527
66.3658,249.527
66.3758,249.527
66.3858,249.527
66.3958,249.527
66.4058,249.527
66.4158,249.527
66.4258,249.527
66.4358,249.527
66.4458,249.527
66.4558,249.527
66.4658,249.527
66.4758,249.527
66.4858,249.527
66.4958,249.527
66.5058,249.527
66.5158,249.527
66.5258,249.527
66.5358,249.527
66.5458,249.527
66.5558,249.527
66.5658,249.527
66.5758,249.527
66.5858,249.527
66.5958,249.527
66.6058,249.527
66.6158,249.527
66.6258,249.527
66.6358,249.527
66.6458,249.527
66.6558,249.527
66.6658,249.527
66.6758,249.527
66.6858,249.527
66.6958,249.527
66.7058,249.527
66.7158,249.527
66.7258,249.527
66.7358,249.527
66.7458,249.527
66.7559,249.527
66.7659,249.527
66.7759,249.527
66.7859,249.527
66.7959,249.527
66.8059,249.527
66.8159,249.527
66.8259,249.527
66.8359,249.527
66.8459,249.527
66.8559,249.527
66.8659,249.527
66.8759,249.527
66.8859,249.527
66.8959,249.527
66.9059,249.527
66.9159,249.527
66.9259,249.527
66.9359,249.527
66.9459,249.527
66.9559,249.527
66.9659,249.527
66.9759,249.527
66.9859,249.527
66.9959,249.527
67.0059,249.527
67.0159,249.527
67.0259,249.527
67.0359,249.527
67.0459,249.527
67.0559,249.527
67.0659,249.527
67.0759,249.527
67.0859,249.527
67.0959,249.527
67.1059,249.527
67.1159,249.527
67.1259,249.527
67.1359,249.527
67.1459,249.527
67.1559,249.527
67.1659,249.527
67.1759,249.527
